,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6245,2017,Barclay Goodrow,C,6.387324010953307,7,77,70,80,74,77,65,69,1
6247,2017,Ben Chiarot,D,1.9742390080355108,2,63,76,86,86,67,83,70,15
6248,2017,Ben Harpur,D,1.0049689537845552,0,62,54,80,77,65,73,71,-21
6249,2017,Ben Hutton,D,4.620101619511843,0,61,67,70,86,81,85,65,-9
6250,2017,Ben Lovejoy,D,2.998670077882707,2,62,67,83,87,78,78,71,7
6253,2017,Blake Coleman,C,15.802930761128664,13,84,76,94,85,91,74,69,7
6254,2017,Blake Comeau,LW,10.632715543266388,13,84,84,89,77,87,79,70,5
6256,2017,Blake Pietila,LW,0.05475395545363426,0,62,52,57,51,58,54,71,0
6257,2017,Blake Wheeler,RW,20.54267715336755,23,89,99,84,85,85,87,90,13
6258,2017,Bo Horvat,C,20.23058618139476,22,88,85,68,73,78,77,80,-1
6259,2017,Bobby Ryan,RW,10.007396464701742,11,82,85,85,83,80,84,61,-12
6260,2017,Boo Nieves,C,2.1878911890089507,1,62,72,68,67,74,65,71,6
6261,2017,Boone Jenner,C,18.439039205200967,13,85,83,93,87,85,71,66,1
6262,2017,Brad Hunt,D,4.436404294334351,3,66,79,62,77,78,67,78,-5
6263,2017,Brad Malone,C,0.7902005240321159,0,62,52,64,54,57,57,71,0
6264,2017,Brad Marchand,LW,22.576155899558216,34,93,93,69,70,89,90,83,25
6265,2017,Brad Richardson,RW,10.047256602905689,3,68,76,80,83,79,69,69,-23
6266,2017,Brady Skjei,D,10.427751900162546,4,68,84,87,90,81,88,68,-27
6267,2017,Brandon Carlo,D,4.1275710854679355,0,61,67,83,87,80,86,70,10
6268,2017,Brandon Davidson,D,2.641165120527148,4,70,62,86,87,70,86,70,-13
6269,2017,Brandon Dubinsky,C,8.531733355019243,6,76,74,89,81,80,67,69,-2
6270,2017,Brandon Manning,D,6.065727207344025,7,76,76,86,86,74,82,70,0
6271,2017,Brandon Montour,D,8.548718419857321,9,79,85,85,87,76,86,73,16
6272,2017,Brandon Pirri,C,1.5525404484942555,3,70,52,55,51,58,54,70,3
6273,2017,Brandon Saad,LW,29.319765520282093,18,87,81,65,74,87,70,58,-10
6274,2017,Brandon Sutter,C,8.58956113923341,11,82,79,76,75,83,69,68,8
6275,2017,Brandon Tanev,LW,7.9578162310644975,8,78,75,92,84,77,69,70,13
6276,2017,Brayden McNabb,D,3.8155463621951635,5,73,74,94,95,83,85,70,26
6277,2017,Brayden Point,C,26.228020080365237,32,92,88,64,85,89,75,71,18
6278,2017,Brayden Schenn,C,24.423526998609304,28,91,91,89,76,89,85,75,10
6279,2017,Braydon Coburn,D,2.8829543748870488,1,62,78,81,86,68,76,71,3
6280,2017,Brendan Gallagher,RW,36.261418635956936,31,92,85,84,78,86,78,79,-13
6281,2017,Brendan Gaunce,C,5.036163335200398,4,71,59,75,61,74,71,78,0
6282,2017,Brendan Guhle,D,1.8587828483432527,0,62,66,58,60,53,65,67,-6
6283,2017,Brendan Leipsic,LW,10.18653753772378,5,74,81,68,68,86,82,62,-4
6284,2017,Brendan Lemieux,LW,0.4583887038752437,1,63,52,61,52,55,56,70,2
6285,2017,Brendan Perlini,LW,11.534975615795704,17,86,77,83,75,74,75,77,-2
6286,2017,Brendan Smith,D,4.627657265868038,1,62,69,77,77,79,86,74,2
6287,2017,Brenden Dillon,D,3.608612474054098,5,73,81,92,89,68,79,70,-7
6288,2017,Brent Burns,D,14.91769074741751,12,85,95,81,91,92,98,76,-16
6289,2017,Brent Seabrook,D,7.951141857542098,7,76,82,82,94,80,90,66,-3
6290,2017,Brett Connolly,RW,8.546419024467468,15,86,76,80,70,75,73,72,-6
6291,2017,Brett Kulak,D,3.3084837468340997,2,62,67,73,82,74,77,70,-3
6293,2017,Brett Pesce,D,4.318029363639654,3,65,80,76,88,86,76,67,-6
