,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
7039,2017,Zach Bogosian,D,1.3440849189646542,0,62,55,64,70,57,65,67,-9
7040,2017,Zach Hyman,LW,19.579605489037927,15,85,86,86,84,85,80,68,22
7041,2017,Zach Parise,LW,13.918701608665287,15,85,73,65,77,73,69,66,0
7043,2017,Zach Trotman,D,0.14792619831860065,0,62,51,54,55,51,53,70,-3
7044,2017,Zach Werenski,D,11.48322135536,16,86,84,76,87,84,85,68,8
7045,2017,Zach Whitecloud,D,0.0,0,62,51,54,54,51,53,71,3
7046,2017,Zack Kassian,RW,8.723363091237843,7,77,76,88,59,81,82,73,-8
7048,2017,Zack Smith,C,11.83461538515985,5,74,78,84,73,82,79,63,-32
7049,2017,Zdeno Chara,D,8.243401942774652,7,76,81,88,90,86,90,65,22
7050,2017,Zemgus Girgensons,C,9.697675814852117,7,77,71,88,75,75,67,70,-12
7051,2018,A.J. Greer,LW,1.6083568828180432,1,64,57,65,56,62,53,71,-2
7052,2018,Aaron Ekblad,D,11.801286560483275,13,84,85,86,88,86,96,75,1
7053,2018,Adam Clendening,D,0.11968621984124185,0,62,52,54,56,56,53,71,1
7054,2018,Adam Cracknell,RW,0.2860410697758198,0,62,53,58,51,53,53,71,-1
7055,2018,Adam Erne,LW,6.6649423567578205,7,78,77,89,72,73,63,74,10
7056,2018,Adam Gaudette,C,5.655322049744427,5,75,70,74,65,67,62,63,-8
7057,2018,Adam Henrique,C,14.76513684121892,18,87,85,81,86,85,76,76,-5
7058,2018,Adam Johnson,C,0.42542897164821625,0,62,62,60,54,57,53,71,2
7059,2018,Adam Larsson,D,4.970218491740526,3,66,81,95,91,79,88,70,-28
7060,2018,Adam Lowry,C,12.519465113990009,12,84,75,93,83,86,75,69,6
7061,2018,Adam McQuaid,D,1.0303416880778968,3,71,65,87,88,68,72,71,2
7062,2018,Adam Pelech,D,5.784919829107821,5,74,80,88,90,85,84,69,22
7063,2018,Adrian Kempe,C,12.158609695732595,12,84,80,83,69,76,75,64,-10
7064,2018,Alan Quine,C,1.32913351431489,3,72,62,61,53,59,59,77,0
7065,2018,Alec Martinez,D,4.027702987194061,4,71,78,81,92,68,89,64,-2
7066,2018,Aleksander Barkov,C,24.83238619985059,35,93,93,64,85,95,89,85,-3
7067,2018,Alex Biega,D,3.1279352684505284,2,62,78,85,81,59,71,74,0
7068,2018,Alex Chiasson,RW,17.519779817201194,22,88,80,83,75,81,77,78,-1
7069,2018,Alex DeBrincat,LW,23.75864317221567,41,95,87,67,72,87,86,82,0
7070,2018,Alex Formenton,LW,1.554237026721239,1,63,52,60,58,61,60,71,-2
7071,2018,Alex Galchenyuk,C,15.66423899680376,19,87,85,77,76,81,84,80,-19
7072,2018,Alex Goligoski,D,4.450291877612472,3,66,85,81,94,75,87,66,-7
7073,2018,Alex Iafallo,LW,15.617643014527856,15,85,82,83,85,80,72,67,-17
7074,2018,Alex Killorn,LW,16.180384923703972,18,87,85,83,70,82,74,68,22
7075,2018,Alex Nylander,LW,1.4765408840030432,2,67,62,54,52,55,58,74,-4
7076,2018,Alex Ovechkin,LW,31.62608134932816,51,99,88,93,79,87,89,80,7
7077,2018,Alex Pietrangelo,D,10.666999952867627,13,85,86,76,92,88,86,73,2
7078,2018,Alex Tuch,RW,19.864966152235862,20,87,87,84,79,90,86,64,13
7079,2018,Alex Wennberg,C,6.522239280864596,2,66,85,67,75,85,78,65,-1
7080,2018,Alexander Edler,D,4.9798269304446885,10,81,85,87,95,69,83,78,3
7081,2018,Alexander Kerfoot,C,14.832492081448436,15,85,86,62,74,77,79,78,-9
7082,2018,Alexander Petrovic,D,2.1674795774742956,0,62,61,86,85,66,78,70,-15
7083,2018,Alexander Radulov,RW,22.94132815534249,29,91,89,76,87,86,89,81,22
7084,2018,Alexander Steen,LW,10.844651122111829,10,81,81,76,83,85,69,71,2
7085,2018,Alexandre Fortin,LW,3.4982083439826965,3,71,64,64,58,67,56,71,-6
7086,2018,Alexandre Texier,C,0.5802913084626198,1,64,52,55,52,53,55,71,3
7087,2018,Anders Bjork,LW,1.6400582194328308,1,63,62,58,63,69,64,67,-1
7088,2018,Anders Lee,LW,29.951416124589738,28,90,85,85,83,77,78,76,20
7089,2018,Andre Burakovsky,LW,10.059698318131268,12,84,77,68,74,81,78,73,2
7090,2018,Andreas Athanasiou,C,22.72719638142735,30,91,85,67,72,80,85,71,-9
7091,2018,Andreas Englund,D,0.06251813285052776,0,62,52,57,55,51,56,71,-2
7092,2018,Andreas Johnsson,LW,15.414439383894205,20,87,85,77,77,79,73,70,14
7093,2018,Andreas Martinsen,LW,2.1609580176882446,1,63,64,85,60,59,63,71,-5
7094,2018,Andrei Svechnikov,RW,22.89183093048632,20,87,81,86,72,85,88,62,0
7095,2018,Andrej Sekera,D,1.1232766285538671,0,62,65,62,70,63,68,71,3
7096,2018,Andrej Sustr,D,0.1617935188114643,0,62,52,55,61,51,53,71,0
7097,2018,Andrew Agozzino,LW,0.9227094640955328,1,63,57,62,54,55,58,71,2
7098,2018,Andrew Cogliano,C,11.361025135964155,6,76,75,79,76,77,80,77,1
7099,2018,Andrew Copp,C,10.57638668688014,11,83,78,80,76,77,77,70,20
7100,2018,Andrew Ladd,LW,3.811211290769279,3,70,72,71,59,67,68,67,3
7101,2018,Andrew MacDonald,D,1.8760224245488644,0,62,73,66,88,57,77,70,-5
7102,2018,Andrew Mangiapane,LW,8.685309804975986,8,79,67,73,66,73,66,66,11
7103,2018,Andrew Shaw,RW,19.853826538659632,19,87,86,87,77,73,75,69,17
7104,2018,Andy Greene,D,6.567156155593692,5,74,83,78,99,85,85,75,-9
7105,2018,Andy Welinski,D,1.8149915221147241,1,62,64,74,68,63,69,67,-5
7106,2018,Anthony Beauvillier,LW,20.952290945686396,18,87,74,83,77,85,79,61,1
7107,2018,Anthony Bitetto,D,1.5654411930590868,0,62,64,83,78,63,68,71,-7
7108,2018,Anthony Cirelli,C,16.098816255107526,19,87,84,85,83,87,68,68,25
7109,2018,Anthony Duclair,LW,13.002978605683891,19,87,78,67,76,84,78,78,-2
7110,2018,Anthony Greco,RW,0.1297411397099495,0,62,53,55,51,53,52,71,-3
7111,2018,Anthony Mantha,RW,20.353056661318988,25,89,85,78,70,85,87,79,-8
7112,2018,Anthony Peluso,RW,0.02963627502322197,0,62,53,57,51,58,53,71,-1
7113,2018,Anthony Richard,C,0.0,0,62,53,54,52,53,52,71,-1
7114,2018,Antoine Roussel,LW,9.800449744798245,9,80,85,84,83,76,73,70,5
7115,2018,Anton Blidh,LW,0.0,0,62,53,58,52,55,52,71,0
7116,2018,Anton Lindholm,D,0.0,0,62,52,54,54,51,53,71,-1
7117,2018,Anton Stralman,D,2.486770463176072,2,63,79,76,86,79,70,73,12
7118,2018,Antti Suomela,C,5.805515487678349,3,70,67,58,62,63,62,71,1
7119,2018,Anze Kopitar,C,17.788487056735907,22,88,88,76,86,88,87,72,-20
7120,2018,Artem Anisimov,C,17.710681584663693,15,85,85,63,76,87,68,65,-2
7121,2018,Artemi Panarin,LW,17.588271181564778,28,90,93,58,66,83,87,76,14
7122,2018,Artturi Lehkonen,LW,19.77491038944572,11,83,84,86,78,86,77,63,10
7123,2018,Ashton Sautner,D,0.7698174817487597,0,62,56,66,68,57,65,71,-2
7124,2018,Austin Czarnik,C,7.755761787295341,6,77,77,57,71,79,69,66,-1
7125,2018,Austin Wagner,LW,8.727087444160134,12,84,73,88,60,65,71,70,2
7126,2018,Austin Watson,LW,5.476103897206485,7,78,73,86,74,69,67,78,11
7127,2018,Auston Matthews,C,29.23380589671433,37,94,88,65,85,88,88,89,-9
7128,2018,Barclay Goodrow,C,8.465859747957436,7,78,75,87,86,85,70,70,4
7129,2018,Ben Chiarot,D,5.1675754096359015,5,74,79,89,92,75,88,71,6
7130,2018,Ben Gleason,D,0.12950629368424416,0,62,57,55,54,60,57,70,-1
7131,2018,Ben Harpur,D,1.9080292028374968,1,62,65,84,86,72,87,71,-13
7132,2018,Ben Hutton,D,4.907773610204458,5,74,79,75,89,80,79,69,-23
7133,2018,Ben Lovejoy,D,4.257854376453906,2,62,70,80,90,77,83,70,-1
7134,2018,Ben Street,C,1.4546507243067026,3,71,62,63,60,61,57,71,-4
7135,2018,Blake Coleman,C,22.224352015182376,22,88,78,93,80,87,82,74,-19
7136,2018,Blake Comeau,LW,11.076782481279226,7,78,75,92,79,85,82,70,-7
7137,2018,Blake Lizotte,C,0.323954701423645,0,62,52,54,52,55,52,71,-1
7138,2018,Blake Pietila,LW,1.9563239039853213,0,62,57,71,59,67,54,68,-7
7139,2018,Blake Wheeler,RW,21.424884805455804,20,87,95,81,84,86,80,78,0
7140,2018,Bo Horvat,C,27.443027566187087,27,90,87,76,85,81,83,72,-4
7141,2018,Bobby Ryan,RW,15.610663147177545,15,85,86,81,83,87,86,79,-29
7142,2018,Bogdan Kiselevich,D,0.7399838510900736,0,62,72,75,70,59,64,71,-3
7143,2018,Boo Nieves,C,3.5626495461910963,4,74,69,68,67,69,73,71,-4
7144,2018,Boone Jenner,C,15.737430756911635,16,86,85,89,86,86,73,63,6
7145,2018,Brad Hunt,D,4.573810592293738,5,75,70,61,75,77,68,76,-2
7146,2018,Brad Malone,C,0.9555222881026566,0,62,52,71,56,55,53,71,0
7147,2018,Brad Marchand,LW,25.75932233594358,36,93,94,72,67,89,91,89,15
7148,2018,Brad Richardson,RW,13.012829649727793,19,87,71,77,85,80,74,67,6
7149,2018,Brady Keeper,D,0.027439435943961143,0,62,52,55,54,51,53,71,1
7150,2018,Brady Skjei,D,7.255832228343934,8,78,81,90,90,83,89,67,-4
7151,2018,Brady Tkachuk,LW,27.809389156755056,22,88,85,90,72,77,83,72,-10
7152,2018,Brandon Carlo,D,5.6447040108032525,2,62,71,87,88,86,85,70,22
7153,2018,Brandon Davidson,D,0.2850416749715805,0,62,56,63,67,55,57,71,-4
7154,2018,Brandon Dubinsky,C,7.021518389694393,6,77,72,88,74,73,61,70,-16
7155,2018,Brandon Gignac,C,0.03384871035814285,0,62,52,54,52,53,55,71,-2
7156,2018,Brandon Manning,D,1.7002398595213892,2,66,61,78,80,64,68,71,-15
7157,2018,Brandon Montour,D,9.26404615212232,8,78,86,85,91,82,89,65,-20
7158,2018,Brandon Pirri,C,8.928444142453372,12,84,69,67,64,71,66,75,7
7159,2018,Brandon Saad,LW,24.423393840435892,23,89,85,74,71,85,82,73,-9
7160,2018,Brandon Sutter,C,3.666201565414667,4,74,61,68,64,65,60,71,-12
7161,2018,Brandon Tanev,LW,12.148001183290036,14,85,79,96,87,77,71,70,9
7162,2018,Brayden McNabb,D,3.7043381608091295,4,71,76,91,92,85,83,70,11
7163,2018,Brayden Point,C,29.69963808171451,41,95,91,66,80,85,76,96,27
7164,2018,Brayden Schenn,C,22.969593536108732,17,86,88,86,75,87,85,73,3
7165,2018,Braydon Coburn,D,5.022215482778846,4,70,83,85,85,73,75,70,4
7166,2018,Brendan Gallagher,RW,36.07157994108274,33,92,83,87,75,88,78,65,10
7167,2018,Brendan Gaunce,C,0.192437881603837,1,64,63,56,51,53,53,71,3
7168,2018,Brendan Guhle,D,1.0572507297620175,0,62,57,58,60,53,54,69,-2
7169,2018,Brendan Leipsic,LW,7.877220285590737,7,78,80,76,73,77,74,65,-14
7170,2018,Brendan Lemieux,LW,8.372902687173339,12,84,67,87,75,70,68,67,6
7171,2018,Brendan Perlini,LW,11.884105047211053,14,85,70,75,69,68,68,75,-17
7172,2018,Brendan Smith,D,5.7629086044617,4,72,73,85,83,83,86,71,-7
7173,2018,Brenden Dillon,D,2.719485120847821,1,62,84,91,87,72,83,70,19
7174,2018,Brent Burns,D,14.210725241340695,16,86,94,83,89,93,96,80,13
7175,2018,Brent Seabrook,D,8.013843147084117,5,74,85,86,96,75,89,73,-6
7176,2018,Brett Connolly,RW,16.40849145874381,22,88,85,75,71,84,76,65,13
7177,2018,Brett Howden,C,11.064148518256843,6,77,81,78,82,81,82,62,-16
7178,2018,Brett Kulak,D,4.898004409391434,6,76,75,85,86,71,85,71,12
7179,2018,Brett Pesce,D,5.485923093277961,7,77,85,75,92,88,79,68,35
7180,2018,Brett Ritchie,RW,5.558939938433468,4,73,61,87,64,64,66,69,-7
7181,2018,Brett Seney,LW,5.442144483793527,5,75,72,75,65,74,71,72,-14
7182,2018,Brian Boyle,C,14.043943613301964,18,87,68,88,83,77,70,71,-14
7183,2018,Brian Dumoulin,D,4.6513508036732665,3,66,84,87,91,85,86,69,31
7184,2018,Brian Gibbons,C,6.366369883529843,8,79,76,71,74,80,75,71,-5
7185,2018,Brian Lashoff,D,0.043224090710282326,0,62,57,55,57,51,53,71,-1
7186,2018,Brock Boeser,RW,19.83135018404573,26,90,86,58,69,86,80,71,-2
7187,2018,Brock McGinn,LW,14.665093783289196,10,81,80,87,78,88,79,66,10
7188,2018,Brock Nelson,C,23.494804981164638,25,89,86,74,85,88,85,65,20
7189,2018,Brogan Rafferty,D,0.0852675586938858,0,62,52,54,55,53,54,71,-1
7190,2018,Brooks Orpik,D,2.3638433003798127,2,64,70,87,87,61,79,71,8
7191,2018,Bryan Little,C,13.700219213031232,15,85,86,77,74,85,73,73,-12
7192,2018,Bryan Rust,RW,19.30631841346621,18,87,81,86,85,82,77,69,10
7193,2018,C.J. Smith,LW,1.348165380768478,2,67,52,56,52,57,56,71,0
7194,2018,Cal Clutterbuck,RW,12.058535409159957,8,79,79,92,79,76,78,68,6
7195,2018,Caleb Jones,D,0.9044608613476156,1,62,67,63,68,70,71,71,-9
7196,2018,Calle Jarnkrok,C,11.799388835206628,10,81,80,75,69,79,73,66,13
7197,2018,Calle Rosen,D,0.16787720937281847,1,64,52,54,55,51,59,71,-3
7198,2018,Calvin de Haan,D,5.208014755509794,1,62,77,90,89,88,87,69,1
7199,2018,Cam Atkinson,RW,35.04351540794596,41,95,86,64,71,87,85,75,3
7200,2018,Cam Fowler,D,5.092670461162925,5,75,82,66,88,78,85,65,-14
7201,2018,Cameron Gaunce,D,0.12186647579073905,0,62,52,56,54,56,56,71,3
7202,2018,Cameron Schilling,D,0.06724181398749353,0,62,57,55,59,51,57,71,0
7203,2018,Carl Dahlstrom,D,1.7548517026007175,0,62,68,68,77,66,78,71,9
7204,2018,Carl Grundstrom,RW,4.0381755004636934,5,76,57,72,54,66,59,67,-4
7205,2018,Carl Gunnarsson,D,1.302666204981506,3,72,65,58,78,63,63,71,8
7206,2018,Carl Hagelin,LW,9.386358997784557,5,75,78,78,68,83,72,70,7
7207,2018,Carl Soderberg,C,20.491779137868434,23,89,86,85,86,87,76,71,-5
7208,2018,Carter Rowney,C,6.0590323926880965,7,78,77,90,77,77,77,70,0
7209,2018,Casey Cizikas,C,14.503797032870352,20,88,77,87,86,86,81,70,22
7210,2018,Casey Mittelstadt,C,11.595717484597115,12,84,77,66,65,83,83,73,-19
7211,2018,Casey Nelson,D,1.4033994083292782,1,62,67,73,78,61,73,71,1
7212,2018,Cedric Paquette,C,10.08798748254776,13,85,65,96,85,77,66,70,7
7213,2018,Chad Ruhwedel,D,0.9197721080854536,1,62,56,72,67,64,65,71,-9
7214,2018,Chandler Stephenson,C,4.344242507591844,5,76,68,70,76,75,65,71,-13
7215,2018,Charles Hudon,LW,5.4994869478978226,3,70,62,82,60,67,68,64,-9
7216,2018,Charlie Coyle,C,16.970069736242294,12,84,85,80,85,86,85,63,-1
7217,2018,Charlie McAvoy,D,5.326383151113988,7,78,85,84,88,82,86,64,14
7218,2018,Chase De Leo,C,0.3313286523334682,0,62,52,54,51,53,52,71,1
7219,2018,Chris Butler,D,0.25299440510571003,1,64,56,62,68,57,59,71,3
7220,2018,Chris Kreider,LW,24.428373051807284,28,90,85,89,83,83,86,73,4
7221,2018,Chris Kunitz,LW,5.989935275167228,5,76,67,84,65,70,72,68,-7
7222,2018,Chris Thorburn,RW,0.0,0,62,53,55,51,53,52,71,0
7223,2018,Chris Tierney,C,13.096076834481211,9,80,88,65,85,88,87,69,-22
7224,2018,Chris Wagner,RW,16.104315526783463,12,84,70,95,78,77,74,70,3
7225,2018,Chris Wideman,D,1.3166929725557566,2,66,67,70,74,57,64,64,-12
7226,2018,Christian Djoos,D,1.5117451343685389,1,62,73,61,75,67,75,70,9
7227,2018,Christian Dvorak,C,3.5144977951422334,2,67,67,61,58,70,68,71,-2
7228,2018,Christian Fischer,RW,11.80074246134609,11,82,70,87,67,69,66,58,-13
7229,2018,Christian Folin,D,2.1684022345580156,0,62,68,87,87,59,74,71,6
7230,2018,Christian Jaros,D,3.153405587654561,1,62,73,86,87,73,84,73,-14
7231,2018,Christian Wolanin,D,2.0480990586802363,4,75,72,58,76,72,77,68,3
7232,2018,Christoffer Ehn,C,4.417361700441688,3,70,68,80,79,67,69,71,-5
7233,2018,Christopher Tanev,D,2.107810009736568,2,64,74,65,91,76,80,69,3
7234,2018,Clark Bishop,C,1.437023059464991,1,63,62,72,56,63,59,70,-3
7235,2018,Claude Giroux,C,17.91158706927672,22,88,93,64,67,86,85,72,9
7236,2018,Clayton Keller,RW,18.679698102176193,14,85,87,59,68,86,82,68,-21
7237,2018,Cody Ceci,D,6.750505828298628,7,77,83,86,93,75,87,66,-22
7238,2018,Cody Eakin,C,12.811683317180725,22,88,83,83,77,87,81,67,19
7239,2018,Cody Goloubef,D,0.10350999981164932,0,62,52,61,59,51,56,71,0
7240,2018,Cody McLeod,LW,2.5588740408420563,1,63,52,87,61,63,53,71,-13
7241,2018,Colby Cave,C,7.303458464331925,3,70,67,80,67,77,66,66,-5
7242,2018,Colin Blackwell,C,0.3399353660643101,0,62,52,59,54,57,56,71,-1
7243,2018,Colin Miller,D,5.4930701749399296,3,66,86,86,86,77,85,72,0
7244,2018,Colin White,C,15.154794433154164,14,85,86,63,77,76,83,71,-24
7245,2018,Colin Wilson,C,11.158106580842288,12,84,79,76,75,73,64,72,-6
7246,2018,Colton Parayko,D,7.6096313991583875,10,81,82,86,94,84,85,76,20
7247,2018,Colton Sceviour,RW,11.108039631973954,5,75,75,85,85,75,76,74,-2
7248,2018,Colton Sissons,C,15.85396460723132,15,85,79,85,84,85,76,64,20
7249,2018,Colton White,D,0.06658340990543365,0,62,52,55,55,51,54,71,-2
7250,2018,Connor Brickley,LW,2.448347764089704,1,63,64,71,57,59,60,71,3
7251,2018,Connor Brown,RW,9.21500619314611,8,79,85,68,78,83,70,69,11
7252,2018,Connor Carrick,D,3.114105954766273,2,65,73,65,78,72,71,67,-13
7253,2018,Connor Clifton,D,1.1113605946302414,0,62,56,72,65,67,64,71,5
7254,2018,Connor McDavid,C,31.81119466852397,41,95,96,69,74,95,92,86,3
7255,2018,Connor Murphy,D,3.5302970642223954,5,75,71,86,88,70,86,71,12
7256,2018,Conor Garland,RW,10.099010833539069,13,85,67,68,66,80,65,72,1
7257,2018,Conor Sheary,LW,16.209102613851428,14,85,84,65,74,85,79,70,-18
7258,2018,Cooper Marody,C,0.3865783112123609,0,62,52,54,51,63,52,71,-1
7259,2018,Corban Knight,C,1.3228016514331102,1,63,64,58,64,64,54,71,-5
7260,2018,Corey Perry,RW,6.780292723327875,6,77,65,64,64,69,66,74,-16
7261,2018,Cory Conacher,C,0.02713754028081894,0,62,52,54,51,53,53,71,0
7262,2018,Craig Smith,C,19.769139532465488,21,88,81,81,76,86,83,67,11
7263,2018,Curtis Lazar,C,0.0,0,62,53,54,52,53,52,71,-1
7264,2018,Dale Weise,RW,7.049258669838308,5,75,68,85,69,66,65,70,-8
7265,2018,Dalton Prout,D,0.5007748650386931,1,63,56,70,70,59,65,71,1
7266,2018,Damon Severson,D,9.220060082618149,11,82,86,81,88,79,87,69,-27
7267,2018,Dan Girardi,D,4.3230430176481605,4,71,76,88,90,64,76,71,6
7268,2018,Dan Hamhuis,D,2.01479226956144,0,62,67,69,85,68,84,71,-2
7269,2018,Danick Martel,LW,1.4012572513893249,0,62,62,61,52,59,53,71,3
7270,2018,Daniel Brickley,D,0.04293881542980671,0,62,57,56,57,51,56,71,-2
7271,2018,Daniel Carr,LW,1.051020985469222,1,63,52,59,54,60,55,71,-1
7272,2018,Daniel Sprong,RW,9.740543877240269,14,85,73,69,64,75,80,72,-16
7273,2018,Danny DeKeyser,D,3.683668054174632,5,75,79,81,88,70,79,68,2
7274,2018,Danny O'Regan,C,0.45029549300670624,0,62,52,54,51,53,52,71,0
7275,2018,Dante Fabbro,D,0.1177081409841776,1,64,52,55,60,55,54,71,-1
7276,2018,Danton Heinen,LW,12.709645110182464,11,82,85,75,77,86,80,70,13
7277,2018,Darnell Nurse,D,10.192499764263632,10,81,87,89,93,82,89,68,-5
7278,2018,Darren Archibald,RW,0.936707847751677,1,64,57,60,55,55,56,71,-3
7279,2018,Darren Helm,LW,10.504675741307436,7,78,75,75,72,84,79,70,-11
7280,2018,David Backes,RW,10.214759324677287,7,78,77,88,75,84,77,70,0
7281,2018,David Kampf,C,8.303801347501576,4,73,79,70,75,83,60,69,-6
7282,2018,David Krejci,C,13.526433603838086,20,87,91,64,71,88,85,78,7
7283,2018,David Pastrnak,RW,22.28695172304288,38,94,89,76,71,85,92,98,6
7284,2018,David Perron,LW,12.304904842749238,23,89,85,75,63,86,70,83,3
7285,2018,David Savard,D,7.306690417230129,8,78,80,86,91,73,83,69,19
7286,2018,David Schlemko,D,0.9555446961894632,0,62,61,67,82,59,74,71,-1
7287,2018,Dean Kukan,D,0.7623158534988761,0,62,67,61,70,59,60,71,6
7288,2018,Denis Gurianov,RW,2.37392426840961,1,63,64,65,60,57,59,69,-3
7289,2018,Denis Malgin,C,6.863060829695313,7,78,73,71,69,73,69,68,-10
7290,2018,Dennis Cholowski,D,4.6073455824516705,7,78,73,61,84,64,86,74,-20
7291,2018,Dennis Gilbert,D,0.0,0,62,52,57,54,51,53,71,0
7292,2018,Derek Forbort,D,2.796732316724956,2,62,76,85,92,71,90,70,-13
7293,2018,Derek Grant,C,6.98599208239466,4,73,75,85,74,76,68,70,-6
7294,2018,Derek MacKenzie,C,0.0,0,62,53,54,51,53,52,71,0
7295,2018,Derek Ryan,C,12.105615937151015,13,85,85,61,67,88,86,68,21
7296,2018,Derek Stepan,C,20.073948523961008,15,85,84,73,83,87,85,59,-2
7297,2018,Derick Brassard,C,11.448999877087774,14,85,73,85,65,85,78,68,-19
7298,2018,Derrick Pouliot,D,3.180934438481927,3,68,73,80,86,75,83,64,-1
7299,2018,Deryk Engelland,D,4.3164212801493695,2,62,74,89,93,79,75,70,-3
7300,2018,Devante Smith-Pelly,RW,7.196950638666749,4,73,65,82,77,64,64,71,-6
7301,2018,Devin Shore,C,9.207289798185231,10,81,83,85,85,82,74,70,-12
7302,2018,Devon Toews,D,4.816733656451107,5,75,77,64,75,70,78,68,7
7303,2018,Dillon Dube,C,2.7396481037139893,1,63,65,59,54,64,61,68,2
7304,2018,Dillon Heatherington,D,0.40763115510344505,0,62,57,57,55,51,57,71,4
7305,2018,Dion Phaneuf,D,3.2090530935674906,1,62,67,87,87,63,79,63,-21
7306,2018,Dmitrij Jaskin,RW,4.728933034464717,2,66,69,85,64,71,61,71,-5
7307,2018,Dmitry Kulikov,D,1.7809844356961548,0,62,68,84,86,75,83,70,4
7308,2018,Dmitry Orlov,D,5.849619832355528,3,66,86,87,89,87,90,63,3
7309,2018,Dominic Toninato,C,0.2740794718265533,1,64,52,54,52,53,53,71,0
7310,2018,Dominic Turgeon,C,0.107116486877203,0,62,52,55,54,55,52,71,-3
7311,2018,Dominik Kahun,C,14.06433657510206,13,85,85,58,73,84,75,64,10
7312,2018,Dominik Simon,C,12.165738745126871,8,79,84,84,67,84,80,69,8
7313,2018,Dougie Hamilton,D,13.66839055158198,18,87,84,89,88,85,88,67,0
7314,2018,Drake Batherson,RW,2.0749508761800826,3,71,69,63,69,65,67,76,-2
7315,2018,Drake Caggiula,C,12.031867533922195,12,84,76,87,72,75,75,66,-5
7316,2018,Drew Doughty,D,9.035772551316768,8,78,88,89,90,77,94,80,-35
7317,2018,Drew Stafford,RW,8.664124168455599,5,75,72,75,68,72,70,69,-7
7318,2018,Dryden Hunt,LW,4.054864165838808,3,70,70,80,60,68,63,71,0
7319,2018,Duncan Keith,D,7.391238518059254,6,76,87,70,93,84,89,62,13
7320,2018,Dustin Brown,RW,19.135737888515,22,88,86,88,74,83,85,76,-17
7321,2018,Dustin Byfuglien,D,7.355213190894574,4,70,86,81,84,76,84,79,4
7322,2018,Dylan DeMelo,D,4.440262160729618,4,70,82,86,91,72,87,71,-1
7323,2018,Dylan Gambrell,C,0.4683563411235809,0,62,52,61,52,63,52,71,1
7324,2018,Dylan Larkin,C,27.18600782426074,32,92,89,81,78,90,93,77,-6
7325,2018,Dylan McIlrath,D,0.103628845885396,0,62,52,64,60,55,56,71,2
7326,2018,Dylan Sikura,C,4.1118496572598815,0,62,72,54,61,79,62,71,2
7327,2018,Dylan Strome,C,16.164522129576653,20,87,88,58,81,87,81,73,-8
7328,2018,Eeli Tolvanen,RW,0.2494410239160061,1,64,58,57,53,60,53,73,2
7329,2018,Egor Yakovlev,D,1.68029966019094,2,67,67,59,71,57,73,70,-6
7330,2018,Elias Lindholm,C,18.908051400445398,27,90,91,81,78,87,85,81,30
7331,2018,Elias Pettersson,C,15.050548338331282,28,91,88,70,83,86,86,79,3
7332,2018,Eric Fehr,C,6.722119515296072,7,78,71,70,82,84,66,71,-8
7333,2018,Eric Gryba,D,0.6700305873528123,0,62,52,64,67,59,62,71,-1
7334,2018,Eric Robinson,LW,2.2464934797026217,0,62,52,66,52,55,59,71,-4
7335,2018,Eric Staal,C,24.279521107207984,22,88,86,70,73,87,83,73,-7
7336,2018,Eric Tangradi,LW,0.8585286345332861,0,62,57,60,55,59,53,68,-3
7337,2018,Erik Brannstrom,D,0.0,0,62,52,54,54,53,59,70,0
7338,2018,Erik Burgdoerfer,D,0.0941058797761798,0,62,52,63,53,51,56,71,-1
7339,2018,Erik Cernak,D,4.5700386706739655,5,74,75,91,87,67,72,77,25
7340,2018,Erik Condra,RW,1.133221426978707,1,64,52,56,52,53,61,69,-2
7341,2018,Erik Gudbranson,D,3.5812451718375087,2,62,71,90,87,66,79,70,-20
7342,2018,Erik Gustafsson,D,8.050744720734656,17,86,89,85,90,84,90,73,-6
7343,2018,Erik Haula,LW,2.838289827108383,2,67,67,59,57,70,61,66,1
7344,2018,Erik Johnson,D,8.087535324972121,7,77,82,86,93,82,84,65,8
7345,2018,Erik Karlsson,D,8.681250190362334,3,67,89,71,86,88,88,80,6
7346,2018,Esa Lindell,D,7.815711476840079,11,82,84,87,94,82,92,76,14
7347,2018,Evan Bouchard,D,0.3954323399811983,1,64,52,57,62,58,56,75,-5
7348,2018,Evan Rodrigues,C,11.758518967311831,9,80,84,67,76,85,83,67,-7
7349,2018,Evander Kane,LW,28.77217715838924,30,91,86,90,71,87,83,76,-4
7350,2018,Evgeni Malkin,C,19.51882647862658,21,88,91,75,76,89,91,84,-25
7351,2018,Evgenii Dadonov,RW,25.996176628861576,28,90,89,67,80,86,87,72,-6
7352,2018,Evgeny Kuznetsov,C,19.763785177841786,21,88,91,72,68,86,88,77,7
7353,2018,Filip Chlapik,C,1.0819493308663368,1,64,52,54,55,57,55,69,-2
7354,2018,Filip Chytil,C,14.444641435053198,11,82,76,65,69,79,85,72,-22
7355,2018,Filip Forsberg,LW,23.68433967605233,28,90,85,85,74,90,88,72,8
7356,2018,Filip Hronek,D,4.208405918441713,5,75,82,78,76,66,85,70,-10
7357,2018,Filip Zadina,RW,1.3574095582589507,1,63,62,57,54,63,60,75,-5
7358,2018,Frank Vatrano,C,22.481271676253527,24,89,79,87,86,84,79,69,-10
7359,2018,Frans Nielsen,C,11.331883157603444,10,81,85,81,80,75,81,65,-7
