player,age,pos,caphit,expiry,decr,team,position
Cameron Schilling,32,LD,"$700,000",UFA (2021),27 GR,Washington Capitals,defense
Paul LaDue,28,RD,"$700,000",UFA (2021),27 GR,Washington Capitals,defense
Paul Stastny,35,C,"$6,500,000",UFA (2021),✔,Winnipeg Jets,forward
Bryan Little,33,C,"$5,291,667",UFA (2024),27 GR,Winnipeg Jets,forward
Mathieu Perreault,33,LW,"$4,125,000",UFA (2021),✔,Winnipeg Jets,forward
Adam Lowry,28,C,"$2,916,667",UFA (2026),✔,Winnipeg Jets,forward
Trevor Lewis,34,RW,"$750,000",UFA (2021),✔,Winnipeg Jets,forward
Nate Thompson,36,C,"$750,000",UFA (2021),✔,Winnipeg Jets,forward
Skyler McKenzie,23,C,"$741,666",RFA (2021),27 GR,Winnipeg Jets,forward
Jansen Harkins,24,LW,"$725,000",RFA (2022),✔,Winnipeg Jets,forward
C.J. Suess,27,LW,"$725,000",UFA (2022),27 GR,Winnipeg Jets,forward
Marko Dano,26,C,"$700,000",RFA (2021),27 GR,Winnipeg Jets,forward
Dominic Toninato,27,LW,"$700,000",UFA (2021),✔,Winnipeg Jets,forward
Ivan Telegin,29,LW,$0,RFA (2015),27 GR,Winnipeg Jets,forward
Jordie Benn,33,LD/RD,"$2,000,000",UFA (2021),✔,Winnipeg Jets,defense
Nathan Beaulieu,28,LD/RD,"$1,250,000",UFA (2022),✔,Winnipeg Jets,defense
Derek Forbort,29,LD,"$1,000,000",UFA (2021),✔,Winnipeg Jets,defense
Logan Stanley,23,LD,"$863,333",RFA (2021),✔,Winnipeg Jets,defense
Tucker Poolman,28,RD,"$775,000",UFA (2021),✔,Winnipeg Jets,defense
Luke Green,23,RD,"$733,333",RFA (2021),27 GR,Winnipeg Jets,defense
Sami Niku,24,RD,"$725,000",RFA (2022),21 GR,Winnipeg Jets,defense
Nelson Nogier,25,RD,"$725,000",RFA (2022),27 GR,Winnipeg Jets,defense
